address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,austin,78744,,,,,229990,"['""zestimate"":291939']","['""rentZestimate"":1875']","mon - mon: 12pm - 6pm, tue - sat: 10am - 6pm, sun - sun: 12pm - 6pm",[],,"-$6,184 (-2.1 %)",https://www.zillow.com/community/ridge-at-slaughter/2095637736_zpid/
,austin,78747,3.0,2.0,1220,2013,225000,"['""zestimate"":230575']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$40']","2018 $3,466 -- $187,630 +3.7%","$240,075 (+4.1 %)",https://www.zillow.com/homedetails/10221-Deer-Chase-Trl-Austin-TX-78747/121656734_zpid/
,austin,78748,3.0,2.0,1324,2005,274995,"['""zestimate"":269934']","['""rentZestimate"":1650']",single family,"['HOA Fee"",""factValue"":""$13']","2018 $4,523 -- $225,880 +10.6%","$279,112 (+3.4 %)",https://www.zillow.com/homedetails/8804-Dittmar-Oaks-Dr-Austin-TX-78748/70343218_zpid/
,austin,78753,3.0,3.0,2233,1998,246000,"['""zestimate"":248330']","['""rentZestimate"":1695']",single family,"['HOA Fee"",""factValue"":""$26']","2018 $5,301 -- $236,188 +14.2%","$259,430 (+4.5 %)",https://www.zillow.com/homedetails/1216-Dexford-Dr-Austin-TX-78753/29437783_zpid/
,austin,78753,4.0,3.0,2333,1995,325000,"['""zestimate"":308795']","['""rentZestimate"":1795']",single family,"['HOA Fee"",""factValue"":""$15']","2018 $5,158 -- $251,024 +10%","$317,565 (+2.8 %)",https://www.zillow.com/homedetails/12325-Zeller-Ln-Austin-TX-78753/29436975_zpid/
,manor,78653,,,,,255900,"['""zestimate"":305306']","['""rentZestimate"":1750']",tuesday-saturday: 10am-6pm sunday & monday: 12pm-6pm,[],,"+$24,432 (+8.7 %)",https://www.zillow.com/homedetails/713-S-San-Marcos-St-Manor-TX-78653/2087713771_zpid/
,austin,78749,3.0,2.0,1469,1979,299977,"['""zestimate"":304818']","['""rentZestimate"":1750']",single family,[],"2018 $5,513 -- $256,074 +2.8%","$316,401 (+3.8 %)",https://www.zillow.com/homedetails/7800-Whitsun-Dr-Austin-TX-78749/29490767_zpid/
,austin,78727,3.0,2.0,1235,1982,269000,"['""zestimate"":254695']","['""rentZestimate"":1575']",single family,[],"2018 $3,611 -- $181,029 +10%","$261,954 (+2.9 %)",https://www.zillow.com/homedetails/12504-Esplanade-St-Austin-TX-78727/29440728_zpid/
,austin,78748,,,,,305990,"['""zestimate"":323873']","['""rentZestimate"":1750']",monday - saturday 10 am - 6 pm sunday 12 am - 6 pm,[],,Unavailable,https://www.zillow.com/community/verrado/2091390575_zpid/
,austin,78745,3.0,2.0,1024,1979,245000,"['""zestimate"":255941']","['""rentZestimate"":1450']",condo,"['HOA Fee"",""factValue"":""$100']",,Unavailable,https://www.zillow.com/homedetails/6713-W-Gate-Blvd-A-Austin-TX-78745/2086301474_zpid/
