address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
"133 N De Costa St,", Fort Worth,['76111'],1 bd,1 ba,640 sqft,1970.0,"$94,500","$95,073","$1,150/mo",Single Family,HOA fees$0/mo,"2018$888(-6.6%)$32,292(-5.4%)",(+1.5 %),https://www.zillow.com/homedetails/133-N-De-Costa-St-Fort-Worth-TX-76111/29040543_zpid/
,fort worth,76104,,2.0,1585,1927.0,275000,"['""zestimate"":241641']","['""rentZestimate"":1525']",condo,[],,"+$9,528 (+4.1 %)",https://www.zillow.com/homedetails/120-Saint-Louis-Ave-208-Fort-Worth-TX-76104/2096676141_zpid/
"1800 Lipscomb St,", Fort Worth,['76110'],3 bd,2 ba,"1,422 sqft",2010.0,"$349,000","$331,119","$2,025/mo",Single Family,HOA fees$0/mo,"2018$6,584(+9.2%)$291,690(+19.6%)",(+7.0 %),https://www.zillow.com/homedetails/1800-Lipscomb-St-Fort-Worth-TX-76110/28929889_zpid/
"4901 Cedar River Trl,", Fort Worth,['76137'],4 bd,4 ba,"3,422 sqft",1994.0,"$290,000","$299,524","$2,300/mo",Single Family,HOA fees$0/mo,"2018$9,138(+83.2%)$297,263(+4.8%)",(+4.5 %),https://www.zillow.com/homedetails/4901-Cedar-River-Trl-Fort-Worth-TX-76137/29279058_zpid/
"6313 Wallingford Dr,", Fort Worth,['76133'],3 bd,3 ba,"2,073 sqft",1967.0,"$265,000","$259,769","$1,695/mo",Single Family,HOA fees$0/mo,"2018$2,249(+1.6%)$168,990(+12.6%)",(+5.4 %),https://www.zillow.com/homedetails/6313-Wallingford-Dr-Fort-Worth-TX-76133/29142566_zpid/
"8044 Cannonwood Dr,", Fort Worth,['76137'],3 bd,2 ba,"1,534 sqft",1997.0,"$195,000","$200,485","$1,495/mo",Single Family,HOA fees$0/mo,"2018$4,695(+5%)$161,370(+6.5%)",(+5.9 %),https://www.zillow.com/homedetails/8044-Cannonwood-Dr-Fort-Worth-TX-76137/29303244_zpid/
"3110 Hardy St,", Fort Worth,['76106'],3 bd,1 ba,880 sqft,1950.0,"$65,000","$72,339","$1,105/mo",Single Family,HOA fees$0/mo,"2018$1,703(+114.1%)$61,892(-1.4%)",(+3.2 %),https://www.zillow.com/homedetails/3110-Hardy-St-Fort-Worth-TX-76106/29102027_zpid/
,fort worth,76106,2.0,,900,1950.0,105000,"['""zestimate"":101446']","['""rentZestimate"":1150']",single family,[],"2018 $1,755 +8.1% $63,824 +9.5%","$104,469 (+3.0 %)",https://www.zillow.com/homedetails/3518-N-Pecan-St-Fort-Worth-TX-76106/28984324_zpid/
"4124 Birchman Ave,", Fort Worth,['76107'],3 bd,2 ba,"1,413 sqft",1944.0,"$329,000","$310,197","$2,200/mo",Single Family,HOA fees$0/mo,"2018$5,698(-14.4%)$232,712(-18.9%)",(+1.7 %),https://www.zillow.com/homedetails/4124-Birchman-Ave-Fort-Worth-TX-76107/28952861_zpid/
"2303 Ridgmar Plz APT 24,", Fort Worth,['76116'],2 bd,2 ba,"1,406 sqft",1962.0,"$145,000",,,Condo,HOA fees$0/mo,"2016$1,817(+31.7%)$64,146(+32%)",,https://www.zillow.com/homedetails/2303-Ridgmar-Plz-APT-24-Fort-Worth-TX-76116/29197447_zpid/
"5732 Whittlesey Rd,", Fort Worth,['76119'],6 bd,2 ba,"1,738 sqft",1986.0,"$155,000","$155,828","$1,113/mo",Multi Family,HOA fees$0/mo,"2018$2,025(+2.1%)$73,681(+3.5%)",(+6.2 %),https://www.zillow.com/homedetails/5732-Whittlesey-Rd-Fort-Worth-TX-76119/29155634_zpid/
"4101 Lampton Ct,", Roanoke,['76262'],6 bd,4 ba,"3,329 sqft",2007.0,"$368,800","$385,147","$2,500/mo",Single Family,HOA fees$36/mo,"2018$5,914(-21.3%)$344,714(+6.5%)",(+5.3 %),https://www.zillow.com/homedetails/4101-Lampton-Ct-Roanoke-TX-76262/89514242_zpid/
"7913 Tree Leaf Ln,", Fort Worth,['76123'],3 bd,2 ba,"1,514 sqft",1987.0,"$170,000","$174,014","$1,400/mo",Single Family,HOA fees$0/mo,"2018$2,983(+10.2%)$133,360(+11.7%)",(+6.2 %),https://www.zillow.com/homedetails/7913-Tree-Leaf-Ln-Fort-Worth-TX-76123/29246861_zpid/
