address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,atlanta,30318,2.0,2.0,960,1945.0,274900,"['""zestimate"":265599']","['""rentZestimate"":1549']",single family,[],"2017 $1,841 -23% $44,000 --","$282,916 (+6.5 %)",https://www.zillow.com/homedetails/2543-Edwards-Dr-NW-Atlanta-GA-30318/35923868_zpid/
,atlanta,30314,2.0,2.0,991,2007.0,123900,"['""zestimate"":117187']","['""rentZestimate"":1372']",condo,"['HOA Fee"",""factValue"":""$30']",,-$277 (-0.2 %),https://www.zillow.com/homedetails/870-Mayson-Turner-Rd-NW-UNIT-1227-Atlanta-GA-30314/2132563977_zpid/
,atlanta,30315,3.0,3.0,2066,2002.0,274900,"['""zestimate"":280859']","['""rentZestimate"":1689']",single family,[],,"+$1,560 (+0.6 %)",https://www.zillow.com/homedetails/989-Linam-Ave-SE-Atlanta-GA-30315/2131910454_zpid/
,atlanta,30314,3.0,2.0,2358,1953.0,295000,"['""zestimate"":221412']","['""rentZestimate"":1350']",single family,[],"2017 $1,367 +25.1% $14,040 --","+$59,768 (+37.0 %)",https://www.zillow.com/homedetails/85-Leathers-Cir-NW-Atlanta-GA-30314/35846328_zpid/
,atlanta,30331,3.0,3.0,2756,2006.0,209900,"['""zestimate"":211212']","['""rentZestimate"":1750']",single family,"['HOA Fee"",""factValue"":""$37']","2017 $2,102 +7.3% $58,320 --","$225,976 (+7.0 %)",https://www.zillow.com/homedetails/2942-Edgewater-St-SW-Atlanta-GA-30331/82632233_zpid/
,atlanta,30305,2.0,2.0,1344,1967.0,192900,"['""zestimate"":198252']","['""rentZestimate"":1844']",condo,"['HOA Fee"",""factValue"":""$56']",,"-$2,903 (-1.4 %)",https://www.zillow.com/homedetails/2479-Peachtree-Rd-NE-APT-103-Atlanta-GA-30305/2088491899_zpid/
,atlanta,30316,3.0,2.0,1188,1948.0,254900,"['""zestimate"":267321']","['""rentZestimate"":1650']",single family,[],"2017 $387 -46.4% $72,400 --","$286,862 (+7.3 %)",https://www.zillow.com/homedetails/274-Memorial-Ter-SE-Atlanta-GA-30316/14456339_zpid/
,atlanta,30331,3.0,2.0,1965,2005.0,180000,"['""zestimate"":166873']","['""rentZestimate"":1350']",single family,[],"2017 $1,264 +3.7% $17,200 --","+$56,559 (+51.3 %)",https://www.zillow.com/homedetails/3404-Lake-Valley-Rd-NW-Atlanta-GA-30331/82620700_zpid/
,atlanta,30331,4.0,4.0,2619,2005.0,275000,"['""zestimate"":270944']","['""rentZestimate"":1945']",single family,[],"2017 $3,169 +7.4% $82,840 -4.7%","$280,264 (+3.4 %)",https://www.zillow.com/homedetails/3431-Village-Park-Ln-SW-Atlanta-GA-30331/69370218_zpid/
,atlanta,30311,,,,,192400,"['""zestimate"":161120']","['""rentZestimate"":1350']",monday-tuesday 11-6;wednesday 1-6;thursday- saturday 11-6;sunday 1-6;,[],,-$599 (-0.4 %),https://www.zillow.com/community/cascade-parc/2091685666_zpid/
,atlanta,30318,3.0,2.0,1286,2006.0,175000,"['""zestimate"":176671']","['""rentZestimate"":1385']",single family,[],"2017 $780 -1.8% $7,800 --","-$13,210 (-7.0 %)",https://www.zillow.com/homedetails/551-Sunset-Ave-NW-Atlanta-GA-30318/69343188_zpid/
,atlanta,30318,8.0,6.0,3000,1966.0,180000,"['""zestimate"":202000']","['""rentZestimate"":1300']",single family,[],"2017 $1,958 +118.4% $24,640 --",+$581 (+0.3 %),https://www.zillow.com/homedetails/1590-Hasty-Pl-NW-Atlanta-GA-30318/35845783_zpid/
,atlanta,30311,3.0,2.0,2324,1945.0,300000,"['""zestimate"":197096']","['""rentZestimate"":1435']",single family,[],"2017 $1,571 +39.8% $14,560 --","$220,531 (+11.9 %)",https://www.zillow.com/homedetails/1932-Sandtown-Rd-SW-Atlanta-GA-30311/35854073_zpid/
