address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec
"4214 N Juneau St,", Portland,['97203'],3 bd,1.5 ba,"1,080 sqft",1984,"$265,000","$265,893","$1,750/mo",Single Family,HOA fees$0/mo,"2017$2,725(+14%)$104,410(+3%)",(+5.0 %)
"9220 SW Brier Pl,", Portland,['97219'],3 bd,1 ba,"2,356 sqft",1916,"$495,000","$471,077","$2,100/mo",Single Family,HOA fees$0/mo,"2017$3,964(+14%)$152,030(+3%)",(+11.4 %)
,portland,97266,3.0,3.0,2093,1968,250000,"['""zestimate"":385105']","['""rentZestimate"":2095']",single family,[],"2017 $3,913 +6.6% $175,930 +3%","+$5,573 (+1.5 %)"
"3333 NE Marine Dr # 54,", Portland,['97211'],2 bd,1 ba,"1,034 sqft",1976,"$199,000","$308,079","$1,495/mo",Single Family,HOA fees$0/mo,,(+0.7 %)
"6804 SE Ogden St,", Portland,['97206'],2 bd,1 ba,"1,376 sqft",1929,"$209,000","$311,480","$1,595/mo",Single Family,HOA fees$0/mo,"2017$3,207(+14%)$122,890(+3%)",
"7140 SE 112th Ave,", Portland,['97266'],3 bd,2 ba,"1,467 sqft",1970,"$299,900","$307,329","$1,800/mo",Single Family,HOA fees$0/mo,"2017$4,046(+6.6%)$181,900(+3%)",(+5.5 %)
"7101 NE Prescott St,", Portland,['97218'],5 bd,3 ba,"2,416 sqft",1927,"$499,900","$520,092","$2,100/mo",Single Family,HOA fees$0/mo,"2017$3,908(+65.4%)$103,230(+3%)",(+1.0 %)
"3906 NE Killingsworth St,", Portland,['97211'],4 bd,4 ba,"2,315 sqft",1913,"$325,000","$411,666","$1,900/mo",Single Family,HOA fees$0/mo,"2017$4,005(+14%)$153,480(+3%)",(+2.2 %)
"13640 NE Glisan St,", Portland,['97230'],3 bd,3 ba,"1,494 sqft",1992,"$355,000","$348,396","$1,895/mo",Single Family,HOA fees$0/mo,"2017$4,487(+8.6%)$205,720(+3%)",(+4.2 %)
,portland,97230,2.0,2.0,1595,1992,312000,"['""zestimate"":346384']","['""rentZestimate"":1900']",single family,"['HOA Fee"",""factValue"":""$27']","2017 $5,545 +15.1% $248,700 +3%","$365,851 (+5.6 %)"
"13837 SE Tenino St,", Portland,['97236'],3 bd,3 ba,"2,517 sqft",2000,"$500,000","$497,583","$2,125/mo",Single Family,HOA fees$0/mo,"2017$6,541(+10.7%)$294,090(+3%)",(+0.5 %)
"124 SW Woods St,", Portland,['97201'],4 bd,2 ba,"2,443 sqft",1882,"$360,000",,,Single Family,HOA fees$0/mo,"2017$5,188(+9.7%)$207,630(+3%)",
"9337 N Central St,", Portland,['97203'],2 bd,1 ba,"1,660 sqft",1925,"$295,000","$314,904","$1,797/mo",Single Family,HOA fees$0/mo,"2017$2,093(+14%)$80,210(+3%)",(+2.3 %)
"921 SE 38th Ave,", Portland,['97214'],3 bd,2 ba,"2,051 sqft",1912,"$499,900","$534,719","$2,095/mo",Single Family,HOA fees$0/mo,"2017$3,913(+14%)$149,960(+3%)",(+1.0 %)
"1236 NE 80th Ave,", Portland,['97213'],3 bd,2 ba,"1,932 sqft",1945,"$360,000","$377,157","$1,910/mo",Single Family,HOA fees$0/mo,"2017$3,908(+14%)$149,760(+3%)",(+3.9 %)
"4209 NE 68th Ave,", Portland,['97218'],3 bd,2 ba,"1,696 sqft",1947,"$350,000","$385,079","$1,895/mo",Single Family,HOA fees$0/mo,"2017$4,471(+14%)$171,320(+3%)",
"9235 N Buchanan Ave,", Portland,['97203'],2 bd,2 ba,"1,488 sqft",1923,"$349,900","$360,616","$1,700/mo",Single Family,HOA fees$0/mo,"2017$3,085(+14%)$118,220(+3%)",(+0.6 %)
"1324 SW Dolph St,", Portland,['97219'],3 bd,2 ba,"1,754 sqft",1955,"$445,000","$448,951","$1,795/mo",Single Family,HOA fees$0/mo,"2017$5,137(+14%)$197,020(+3%)",
"5405 NE Jessup St,", Portland,['97218'],4 bd,2 ba,"1,516 sqft",1964,"$435,000","$413,052","$1,995/mo",Single Family,HOA fees$0/mo,"2017$4,243(+14%)$162,590(+3%)",(+5.0 %)
"8304 SE Raymond Ct,", Portland,['97266'],2 bd,1 ba,834 sqft,1948,"$269,000","$270,807","$1,495/mo",Single Family,HOA fees$0/mo,"2017$2,618(+14%)$100,320(+3%)",(+5.4 %)
"6804 SE 76th Ave,", Portland,['97206'],4 bd,2 ba,"1,780 sqft",1947,"$374,900","$373,680","$1,995/mo",Single Family,HOA fees$0/mo,"2017$3,895(+14%)$149,250(+3%)",(+14.8 %)
"7020 SE 67th Ave,", Portland,['97206'],2 bd,1 ba,912 sqft,1954,"$299,721","$303,129","$1,695/mo",Single Family,HOA fees$0/mo,"2017$2,894(+14%)$110,880(+3%)",(+5.2 %)
"6608 SE 85th Ave,", Portland,['97266'],3 bd,1 ba,936 sqft,1954,"$199,900","$262,115","$1,695/mo",Single Family,HOA fees$0/mo,"2017$3,158(+14%)$121,010(+3%)",(+7.2 %)
"1734 SW Canby St,", Portland,['97219'],2 bd,1 ba,"1,603 sqft",1926,"$399,900","$446,000","$1,950/mo",Single Family,HOA fees$0/mo,"2017$5,662(+14%)$217,170(+3%)",(+6.4 %)
"5215 SE 78th Ave,", Portland,['97206'],3 bd,2 ba,"1,898 sqft",1915,"$449,900",,,Single Family,,,
"3139 NE 57th Ave,", Portland,['97213'],3 bd,2 ba,"2,335 sqft",1917,"$419,000",,,Single Family,HOA fees$0/mo,"2017$4,314(-12.4%)$172,480(-17.4%)",
"2451 SW Bertha Blvd,", Portland,['97239'],4 bd,2 ba,"2,006 sqft",1952,"$449,900","$486,794","$2,095/mo",Single Family,HOA fees$0/mo,"2017$6,155(+14%)$236,070(+3%)",(+5.7 %)
"9233 SE Gladstone St,", Portland,['97266'],3 bd,2 ba,920 sqft,1948,"$289,000","$285,484","$1,460/mo",Single Family,HOA fees$0/mo,"2017$2,763(+14%)$105,870(+3%)",(+2.5 %)
"705 NE 91st Ave,", Portland,['97220'],2 bd,1 ba,"1,584 sqft",1923,"$250,000","$289,190","$1,500/mo",Single Family,HOA fees$0/mo,"2017$4,429(+14%)$169,690(+3%)",(+8.6 %)
"9112 SE Harrison St,", Portland,['97216'],4 bd,2 ba,"1,972 sqft",1954,"$365,000","$373,622","$2,095/mo",Single Family,HOA fees$0/mo,"2017$4,349(+14%)$166,650(+3%)",
"1776 SE 114th Pl,", Portland,['97216'],3 bd,2 ba,"1,645 sqft",1980,"$395,000",,,Single Family,,,
"3222 NE Hancock St,", Portland,['97212'],3 bd,1 ba,"1,986 sqft",1922,"$479,500",,,Single Family,HOA fees$0/mo,"2017$4,270(+9.3%)$170,720(+3%)",
"12031 SE Oak St,", Portland,['97216'],3 bd,2 ba,"1,152 sqft",1942,"$299,000","$312,037","$1,700/mo",Single Family,HOA fees$0/mo,"2017$3,068(+6.6%)$137,930(+3%)",
"7615 SE Johnson Creek Blvd,", Portland,['97206'],3 bd,1 ba,"1,728 sqft",1953,"$319,000","$307,753","$1,750/mo",Single Family,HOA fees$0/mo,"2018$2,915--$176,735(+3%)",(+5.4 %)
,portland,97202,3.0,2.0,2545,1883,495000,"['""zestimate"":568069']","['""rentZestimate"":2200']",single family,[],"2017 $5,720 +14% $219,160 +3%","+$12,704 (+2.3 %)"
,portland,97206,3.0,5.0,1008,1956,340000,"['""zestimate"":353725']","['""rentZestimate"":1795']",single family,[],"2017 $3,564 +14% $136,550 +3%","$368,015 (+4.0 %)"
,portland,97230,3.0,2.0,1296,1954,290000,"['""zestimate"":306095']","['""rentZestimate"":1797']",single family,[],"2017 $3,395 +7.5% $155,640 +3%","+$1,784 (+0.6 %)"
,portland,97213,2.0,,1700,1920,449900,"['""zestimate"":482030']","['""rentZestimate"":2195']",single family,[],"2017 $4,702 +14% $180,160 +3%","$478,752 (-0.7 %)"
,portland,97266,2.0,2.0,1140,1937,299000,"['""zestimate"":290919']","['""rentZestimate"":1640']",single family,[],"2017 $2,665 +6.6% $119,830 +3%","$314,454 (+8.1 %)"
,portland,97214,4.0,3.0,1843,1906,499989,"['""zestimate"":540144']","['""rentZestimate"":1600']",single family,[],"2017 $4,129 +14% $158,210 +3%",-$331 (-0.1 %)
,portland,97214,2.0,,1596,1905,425000,"['""zestimate"":325389']","['""rentZestimate"":1700']",single family,[],"2017 $3,140 +14% $120,320 +3%","+$14,594 (+4.7 %)"
,portland,97203,4.0,2.1,2090,2007,430000,"['""zestimate"":429332']","['""rentZestimate"":2200']",single family,[],"2017 $4,673 +14% $179,060 +3%",-$101 (-0.0 %)
,portland,97236,3.0,2.0,2216,1960,349000,"['""zestimate"":353697']","['""rentZestimate"":1895']",single family,[],"2017 $4,906 +14.2% $220,590 +3%","$378,845 (+7.1 %)"
,portland,97231,3.0,3.0,1312,1937,499900,"['""zestimate"":520898']","['""rentZestimate"":2100']",single family,[],"2017 $5,818 +14% $223,140 +3%","$568,977 (+9.2 %)"
,portland,97236,4.0,3.5,2412,2007,433000,"['""zestimate"":450359']","['""rentZestimate"":2150']",single family,"['HOA Fee"",""factValue"":""$36']","2017 $6,854 +8% $312,260 +3%","$459,141 (+1.9 %)"
,portland,97211,2.0,2.0,1918,1942,350000,"['""zestimate"":357561']","['""rentZestimate"":1940']",single family,[],"2017 $3,530 +14% $135,280 +3%",Unavailable
,portland,97217,2.0,,944,1921,324900,"['""zestimate"":331696']","['""rentZestimate"":1695']",single family,[],"2017 $3,405 +14% $130,490 +3%","$351,830 (+6.1 %)"
,portland,97219,3.0,2.0,1136,1972,360000,"['""zestimate"":362837']","['""rentZestimate"":2175']",single family,[],"2017 $4,760 +14% $182,560 +3%","$371,980 (+2.5 %)"
,portland,97239,2.0,2.0,1170,1980,385000,"['""zestimate"":443093']","['""rentZestimate"":1895']",condo,[],,"+$3,182 (+0.7 %)"
,portland,97206,2.0,,798,1935,295000,"['""zestimate"":289641']","['""rentZestimate"":1495']",single family,[],"2017 $2,033 +14% $77,890 +3%","$310,437 (+7.2 %)"
,portland,97219,2.0,2.0,1162,1927,399000,"['""zestimate"":400648']","['""rentZestimate"":1887']",single family,[],"2017 $4,336 +14% $166,330 +3%","$395,760 (-1.2 %)"
,portland,97203,2.0,,1044,1950,319900,"['""zestimate"":327990']","['""rentZestimate"":1950']",single family,[],"2017 $2,283 +14% $87,470 +3%","$330,450 (+0.8 %)"
,portland,97217,4.0,3.0,1836,1913,469900,"['""zestimate"":455906']","['""rentZestimate"":1695']",single family,[],"2017 $2,271 +14% $87,000 +3%","+$7,668 (+1.7 %)"
,portland,97201,2.0,2.0,889,1988,398000,"['""zestimate"":389176']","['""rentZestimate"":1750']",condo,[],"2017 $5,650 +14% $216,700 +3%","+$8,530 (+2.2 %)"
,portland,97233,3.0,2.0,1320,1954,245000,"['""zestimate"":264301']","['""rentZestimate"":1771']",single family,[],"2017 $2,976 +7.6% $135,600 +3%","-$31,555 (-10.7 %)"
,portland,97211,3.0,,2385,1949,445000,"['""zestimate"":566382']","['""rentZestimate"":2350']",single family,[],"2017 $4,858 +14% $186,140 +3%","$566,778 (+0.1 %)"
,portland,97213,3.0,2.0,1542,1942,499000,"['""zestimate"":503640']","['""rentZestimate"":2150']",single family,[],"2017 $5,419 +14% $207,640 +3%","$494,272 (-1.9 %)"
,portland,97220,4.0,2.0,1760,1955,399900,"['""zestimate"":369356']","['""rentZestimate"":1930']",single family,[],"2017 $4,220 +7.5% $193,480 +3%","+$29,575 (+8.7 %)"
,portland,97219,3.0,2.0,1040,1971,342000,"['""zestimate"":329240']","['""rentZestimate"":1800']",single family,[],"2017 $4,561 +14% $174,940 +3%","$332,335 (+0.9 %)"
,portland,97230,5.0,3.0,2940,1966,380000,"['""zestimate"":401711']","['""rentZestimate"":2200']",single family,[],"2017 $8,884 +39.5% $260,230 +3%","$407,857 (+1.5 %)"
,portland,97219,3.0,3.0,1535,1992,418000,"['""zestimate"":418262']","['""rentZestimate"":1895']",single family,[],"2017 $6,814 +26.1% $278,830 +3%","-$11,891 (-2.8 %)"
,portland,97266,2.0,,1376,1939,265000,"['""zestimate"":269144']","['""rentZestimate"":1695']",single family,[],"2017 $3,854 +14% $147,680 +3%","$283,570 (+5.4 %)"
,portland,97212,3.0,,2052,1926,449000,"['""zestimate"":514067']","['""rentZestimate"":2200']",single family,[],"2017 $5,817 +14% $222,880 +3%","+$4,694 (+0.9 %)"
,portland,97221,3.0,,1460,1925,284000,"['""zestimate"":307891']","['""rentZestimate"":1567']",single family,[],"2017 $4,790 +15.8% $183,710 +3%","$308,845 (+0.3 %)"
,portland,97211,2.0,,980,1953,389000,"['""zestimate"":387814']","['""rentZestimate"":1695']",single family,[],"2017 $2,312 +14% $88,610 +3%","$392,507 (+1.2 %)"
,portland,97206,4.0,2.0,2478,1915,389000,"['""zestimate"":410181']","['""rentZestimate"":1995']",single family,[],"2017 $5,296 +14% $202,940 +3%",+$196 (+0.0 %)
,portland,97215,3.0,2.0,1859,1900,425000,"['""zestimate"":441563']","['""rentZestimate"":1995']",single family,[],"2017 $4,705 +14% $180,290 +3%","$443,683 (+0.5 %)"
,portland,97215,4.0,,1440,1950,415000,"['""zestimate"":433739']","['""rentZestimate"":1895']",single family,[],"2017 $4,795 +14% $183,710 +3%","-$29,521 (-6.4 %)"
,portland,97236,4.0,3.0,2299,2004,449000,"['""zestimate"":452166']","['""rentZestimate"":2195']",single family,[],"2017 $6,605 +13.1% $296,970 +3%","$464,013 (+2.6 %)"
,portland,97215,2.0,,2684,1923,485000,"['""zestimate"":572949']","['""rentZestimate"":2350']",single family,[],"2017 $5,190 +14% $198,870 +3%","$561,891 (-1.9 %)"
,portland,97203,4.0,2.0,2947,1906,492000,"['""zestimate"":531221']","['""rentZestimate"":2495']",single family,[],"2017 $5,036 +14% $192,980 +3%","$545,086 (+2.6 %)"
,portland,97218,3.0,2.0,1296,1995,375000,"['""zestimate"":360072']","['""rentZestimate"":1895']",single family,[],"2017 $3,543 +14% $135,750 +3%","+$7,533 (+2.1 %)"
,portland,97218,3.0,1.5,960,1978,,"['""zestimate"":307550']","['""rentZestimate"":1695']",single family,[],"2017 $3,616 +14% $138,540 +3%","$322,743 (+4.9 %)"
,portland,97214,3.0,2.0,2489,1912,499500,"['""zestimate"":530250']","['""rentZestimate"":2060']",single family,[],"2017 $5,831 +14% $223,410 +3%","$550,824 (+3.9 %)"
