,address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
420,,phoenix,85085,4.0,2.5,2550,2006.0,468800,"['""zestimate"":463834']","['""rentZestimate"":2500']",single family,"['HOA Fee"",""factValue"":""$130']","2018 $2,820 +3.6% $32,710 +8.7%","$468,380 (+1.0 %)",0
421,,phoenix,85043,5.0,3.0,2502,2006.0,330000,"['""zestimate"":311939']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$39']","2018 $1,676 +6.4% $17,320 +14.2%","$321,765 (+3.1 %)",0
422,,phoenix,85083,4.0,3.5,3436,2005.0,479900,"['""zestimate"":473656']","['""rentZestimate"":2500']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $3,339 +3.6% $35,720 +5%","$477,729 (+0.9 %)",0
423,,phoenix,85041,3.0,2.0,1685,2004.0,234900,"['""zestimate"":281149']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$83']","2018 $2,086 +7.3% $19,650 +16.9%","$292,507 (+4.0 %)",0
424,,laveen,85339,3.0,2.5,1702,2012.0,217000,"['""zestimate"":222768']","['""rentZestimate"":1449']",single family,"['HOA Fee"",""factValue"":""$115']","2018 $1,998 +7.3% $15,510 +7.5%","$232,035 (+4.2 %)",0
425,,laveen,85339,4.0,3.0,2017,2019.0,377900,"['""zestimate"":311304']","['""rentZestimate"":1595']",single family,[],,Unavailable,0
426,,phoenix,85042,3.0,2.0,1852,2001.0,266000,"['""zestimate"":283092']","['""rentZestimate"":1600']",single family,"['HOA Fee"",""factValue"":""$140']","2018 $2,725 +7.3% $21,410 +7.5%","$289,150 (+2.1 %)",0
427,,laveen,85339,4.0,2.0,1866,2006.0,250000,"['""zestimate"":219209']","['""rentZestimate"":1300']",single family,"['HOA Fee"",""factValue"":""$68']","2018 $1,421 +5.8% $13,310 +14.7%","$227,692 (+3.9 %)",0
428,,laveen,85339,4.0,2.5,2598,2007.0,259999,"['""zestimate"":257816']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$60']","2018 $2,115 +5.8% $16,620 +12.3%","$269,727 (+4.6 %)",0
429,,glendale,85308,3.0,2.5,1457,2007.0,195000,"['""zestimate"":204138']","['""rentZestimate"":1395']",townhouse,"['HOA Fee"",""factValue"":""$200']",,+$307 (+0.2 %),0
430,,phoenix,85027,,,,,89900,"['""zestimate"":189807']","['""rentZestimate"":1077']",sunday and monday by appointmenttuesday ? friday 10am ? 6pmsaturday 9am ? 6pm,[],,"-$6,778 (-3.4 %)",0
431,,phoenix,85009,3.0,2.0,1448,2006.0,200000,"['""zestimate"":191122']","['""rentZestimate"":1200']",single family,[],"2018 $535 +4.2% $10,020 +21%","$203,793 (+6.6 %)",0
432,,phoenix,85037,4.0,3.0,3050,2004.0,294999,"['""zestimate"":290723']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$55']","2018 $1,758 +12% $18,880 +14.3%","$295,665 (+1.7 %)",0
433,,phoenix,85085,5.0,4.0,4091,2004.0,425000,"['""zestimate"":443364']","['""rentZestimate"":2395']",single family,"['HOA Fee"",""factValue"":""$94']","2018 $3,604 +3.8% $36,060 +1.4%","$448,374 (+1.1 %)",0
434,,phoenix,85035,4.0,2.5,1783,2014.0,209990,"['""zestimate"":209806']","['""rentZestimate"":1275']",single family,"['HOA Fee"",""factValue"":""$109']","2018 $2,033 +4.9% $14,850 +4.7%","$216,897 (+3.4 %)",0
435,,phoenix,85040,,,,,181900,"['""zestimate"":191735']","['""rentZestimate"":1395']","10am to 5pm wed- sat, 12p-5pm tuesday, sun - mon closed","['HOA Fee"",""factValue"":""$190']",,"+$1,737 (+0.9 %)",0
436,,laveen,85339,4.0,3.0,2606,2009.0,250000,"['""zestimate"":254647']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$124']","2018 $2,737 +5.4% $18,230 +10%","$260,937 (+2.5 %)",0
437,,phoenix,85024,3.0,3.0,2057,2000.0,369900,"['""zestimate"":364624']","['""rentZestimate"":1950']",single family,"['HOA Fee"",""factValue"":""$43']","2018 $2,582 +22.5% $26,220 +6.3%","$370,239 (+1.5 %)",0
438,,tolleson,85353,3.0,2.0,1785,2015.0,248900,"['""zestimate"":246314']","['""rentZestimate"":1450']",single family,"['HOA Fee"",""factValue"":""$51']","2018 $2,046 +6.3% $18,450 +3.5%","-$5,963 (-2.4 %)",0
439,,phoenix,85041,3.0,2.0,1302,2005.0,195500,"['""zestimate"":193114']","['""rentZestimate"":1200']",single family,"['HOA Fee"",""factValue"":""$63']","2018 $1,369 +5.4% $11,670 +12.5%","$203,716 (+5.5 %)",0
440,,phoenix,85042,4.0,2.0,1998,2005.0,295000,"['""zestimate"":281548']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$65']","2018 $2,323 +7.3% $19,850 +12.4%","$286,700 (+1.8 %)",0
441,,phoenix,85042,3.0,2.0,1522,2000.0,269500,"['""zestimate"":255116']","['""rentZestimate"":1495']",single family,"['HOA Fee"",""factValue"":""$35']","2018 $1,850 +4.9% $16,900 +14.7%","$263,025 (+3.1 %)",0
442,,phoenix,85037,3.0,2.0,1590,2018.0,222990,"['""zestimate"":210110']","['""rentZestimate"":1300']",single family,"['HOA Fee"",""factValue"":""$59']",,Unavailable,0
443,,phoenix,85003,2.0,2.0,1223,2007.0,238875,"['""zestimate"":240956']","['""rentZestimate"":1650']",condo,"['HOA Fee"",""factValue"":""$459']","2018 $2,133 +2.5% $20,910 +6%","$250,546 (+4.0 %)",0
444,,laveen,85339,3.0,2.5,2252,2006.0,269900,"['""zestimate"":264115']","['""rentZestimate"":1473']",single family,"['HOA Fee"",""factValue"":""$50']","2018 $2,122 +5.8% $17,560 +13.8%","$271,061 (+2.6 %)",0
445,,phoenix,85041,4.0,2.5,1776,2006.0,232000,"['""zestimate"":235739']","['""rentZestimate"":1390']",single family,"['HOA Fee"",""factValue"":""$85']","2018 $2,157 +7.3% $15,340 +14.1%","$242,835 (+3.0 %)",0
446,,phoenix,85054,2.0,2.0,843,2003.0,204000,"['""zestimate"":197098']","['""rentZestimate"":1275']",condo,"['HOA Fee"",""factValue"":""$183']","2018 $1,204 +4.3% $12,110 +3.5%","$209,180 (+6.1 %)",0
447,,laveen,85339,4.0,2.0,3080,2001.0,465000,"['""zestimate"":464280']","['""rentZestimate"":2500']",single family,[],"2018 $4,502 +5.6% $37,010 +1.9%","$468,226 (+0.8 %)",0
448,,tolleson,85353,4.0,2.5,3110,2004.0,260000,"['""zestimate"":266193']","['""rentZestimate"":1533']",single family,"['HOA Fee"",""factValue"":""$60']","2018 $1,689 +6.3% $18,430 +10.7%","$269,600 (+1.3 %)",0
449,,phoenix,85024,4.0,3.0,3182,2005.0,439000,"['""zestimate"":435153']","['""rentZestimate"":2400']",single family,"['HOA Fee"",""factValue"":""$34']","2018 $2,996 +4.7% $33,400 +2.9%","$436,328 (+0.3 %)",0
450,,glendale,85308,4.0,2.0,2784,2004.0,499900,"['""zestimate"":500330']","['""rentZestimate"":2500']",single family,"['HOA Fee"",""factValue"":""$117']","2018 $3,150 +3.6% $41,060 +36.3%","$508,385 (+1.6 %)",0
451,,phoenix,85008,2.0,2.0,1206,2005.0,199000,"['""zestimate"":194694']","['""rentZestimate"":1295']",townhouse,"['HOA Fee"",""factValue"":""$200']","2018 $1,242 +4% $13,470 +21.8%","$202,170 (+3.8 %)",0
452,,phoenix,85083,5.0,3.0,2948,2013.0,475000,"['""zestimate"":474183']","['""rentZestimate"":2495']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $3,569 +3.6% $36,010 +5.2%","$483,430 (+2.0 %)",0
453,,phoenix,85024,5.0,4.0,3182,2004.0,409000,"['""zestimate"":402892']","['""rentZestimate"":2200']",single family,"['HOA Fee"",""factValue"":""$34']","2018 $3,268 +4.3% $30,820 +3%","$406,276 (+0.8 %)",0
454,,laveen,85339,3.0,3.0,1275,2007.0,220000,"['""zestimate"":191399']","['""rentZestimate"":1225']",single family,"['HOA Fee"",""factValue"":""$62']","2018 $1,307 +5.4% $10,780 +11.9%","$201,945 (+5.5 %)",0
455,,phoenix,85083,3.0,2.0,1845,2002.0,331900,"['""zestimate"":332510']","['""rentZestimate"":1595']",single family,"['HOA Fee"",""factValue"":""$69']",,"$337,165 (+1.4 %)",0
